id,name,code,user_type_id,chart_template_id/id,reconcile
l10n_cl_mega.1101000010,CAJA,1101000010,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101000020,CAJA MONEDA EXTRANJ.,1101000020,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101000030,FONDO FIJO MONEDA NA,1101000030,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101000040,DIF.CAMBIO CAJA M/E,1101000040,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101000050,FONDO FIJO MONEDA EX,1101000050,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101000060,DIF.CAMBIO F.F. M/E,1101000060,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101000070,RECEPCION FONDO FIJO,1101000070,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010000,BANCO B.C.I. PPAL.,1101010000,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010001,BANCO B.C.I. ENTRADA,1101010001,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010002,BANCO B.C.I. SALIDAS,1101010002,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010003,BCO. B.C.I. OT. CARG,1101010003,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010004,BCO B.C.I. OTROS ABO,1101010004,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010005,BANCO B.C.I. TRANSF.,1101010005,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010010,BCO. CHILE CTA PPAL.,1101010010,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010011,BCO CHILE - ENTRADAS,1101010011,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010012,BCO.CHILE - SALIDAS,1101010012,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010013,BCO. CHILE OT. CARGO,1101010013,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010014,BCO.CHILE OT. ABONOS,1101010014,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010015,BCO. CHILE TRANSF.,1101010015,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010020,BCO SANT/STGO PPAL.,1101010020,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010021,BANCO SANT. ENTRADAS,1101010021,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010022,BCO. SANTAN. SALIDAS,1101010022,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010023,BCO SANT. OT. CARGOS,1101010023,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010024,BCO SANT. OT. ABONOS,1101010024,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010025,BCO SANT. TRANSFEREN,1101010025,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010030,BCO. CHILE PPAL.LA,1101010030,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010031,BCO CHILE.ENTRADA LA,1101010031,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010032,BCO.CHILE.SALIDAS LA,1101010032,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010033,BCO.CHILE O/CARGO LA,1101010033,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010034,BCO.CHILEO/ABONOS LA,1101010034,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010035,BCO.CHILE TRANSF. LA,1101010035,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010040,BCO.CHILE PPAL.USD,1101010040,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010041,BCO.CHILE.ENTRAD USD,1101010041,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010042,BCO.CHILE.SALIDA USD,1101010042,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010043,BCO.CHILE O/CARG.USD,1101010043,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010044,BCO.CHILE O/ABO. USD,1101010044,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010045,BCO.CHILE TRANSF.USD,1101010045,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010050,BANCO BICE PPAL.,1101010050,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010051,BANCO BICE ENTRADASD,1101010051,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010052,BANCO BICE SALIDASSD,1101010052,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010053,BCO. BICE OT. CARGSD,1101010053,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010054,BCO BICE OTROS ABOSD,1101010054,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010055,BANCO BICE TRANSF.SD,1101010055,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010060,BANCO SCOT PPAL.,1101010060,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010061,BANCO SCOTIA ENTRADA,1101010061,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010062,BANCO SCOTIA SALIDAS,1101010062,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010063,BCO. SCOTIA OT. CARG,1101010063,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010064,BCO SCOT OTROS ABO,1101010064,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010065,BANCO SCOTIA TRANSF.,1101010065,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010070,BANCO ESTADO PPAL.,1101010070,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010071,BANCO ESTADO ENTRADA,1101010071,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010072,BANCO ESTADO SALIDAS,1101010072,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010073,BCO. ESTADO OT. CARG,1101010073,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010074,BCO ESTADO OT. ABOSD,1101010074,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010075,BANCO ESTADO TRANSF.,1101010075,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010080,BCO.BBVA PPAL.,1101010080,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010081,BCO.BBVA.ENTRADA,1101010081,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010082,BCO.BBVA.SALIDA,1101010082,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010083,BCO. BBVA O/CARG.USD,1101010083,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010084,BCO.BBVA O/ABONOS,1101010084,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010085,BCO.BBVA TRANSFERENC,1101010085,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010090,BCO.CORPBANCA PPAL.,1101010090,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010091,BCO.CORPBANC ENTRADA,1101010091,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010092,BCO.CORPBANCASALIDA,1101010092,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010093,BCO. CORPBANC O/CARG,1101010093,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010094,BCO.CORPBAN O/ABONOS,1101010094,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010095,BCO.CORP TRANSFERENC,1101010095,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010100,BANCO STDER USD PPAL,1101010100,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010101,BCO.STDER.ENTRAD USD,1101010101,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010102,BCO.STDER.SALIDA USD,1101010102,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010103,BCO.STDER O/CAR.USD,1101010103,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010104,BCO.STDER O/ABO. USD,1101010104,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010105,BCO.STDER TRANSF.USD,1101010105,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010110,BANCO CHILE CTA.2,1101010110,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010160,BCO.SEURITY PPAL.,1101010160,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010161,BCO.SECURITY CTA.ENT,1101010161,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010162,BCO.SECURITY SALIDAS,1101010162,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010163,BCO. SECURITY O.CARG,1101010163,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010164,BCO.SECURITY O.ABONO,1101010164,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010165,BCO. SECURITY TRANSF,1101010165,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010170,BCO. ITAU PPAL.,1101010170,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010171,BCO.ITAU ENTRADA,1101010171,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010172,BCO.ITAU SALIDAS,1101010172,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010173,BCO. ITAU OT. CARG,1101010173,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010174,BCO ITAU OTROS ABO,1101010174,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010175,BCO.ITAU TRANSF.,1101010175,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010200,BANCO SCOT PPAL.USD,1101010200,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010201,BCO.SCOTI.ENTRAD USD,1101010201,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010202,BCO.SCOTI.SALIDA USD,1101010202,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010203,BCO.SCOTI USD CARGOS,1101010203,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010204,BCO.SCOTI USD ABONOS,1101010204,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010205,BCO.SCOTI USD TRANSF,1101010205,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010290,BCO.SEURITY PPAL.USD,1101010290,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010291,BCO.SECURITY ENT.USD,1101010291,Bank and Cash,l10n_cl_mega.cl_chart_template,
l10n_cl_mega.1101010292,BCO.SECURITY SAL.USD,1101010292,Bank and Cash,l10n_cl_mega.cl_chart_template,
