position_id/id,account_dest_id/id,account_src_id/id
l10n_cl_mega.INGRESOS_POR_PUBLICIDAD_PAGADA,l10n_cl_mega.3100000001,l10n_cl_mega.3100000000
l10n_cl_mega.INGRESOS_POR_PUBLICIDAD_CANJE,l10n_cl_mega.3100000002,l10n_cl_mega.3100000000
l10n_cl_mega.INGRESOS_POR_PUBLICIDAD_INTERNET,l10n_cl_mega.3100000003,l10n_cl_mega.3100000000
l10n_cl_mega.INGRESOS_POR_PRESTACION_DE_SERVICIOS,l10n_cl_mega.3100000004,l10n_cl_mega.3100000000
l10n_cl_mega.INGRESOS_TELEFONIA_PAGADA,l10n_cl_mega.3100000005,l10n_cl_mega.3100000000
l10n_cl_mega.INGRESOS_LICENCIAS_PAGADAS,l10n_cl_mega.3100000006,l10n_cl_mega.3100000000
l10n_cl_mega.INGRESOS_EVENTOS_PAGADOS,l10n_cl_mega.3100000007,l10n_cl_mega.3100000000
l10n_cl_mega.INGRESOS_AUTOLIQUIDA_PAGADOS,l10n_cl_mega.3100000008,l10n_cl_mega.3100000000
l10n_cl_mega.INGRESOS_RIESGOS_PAGADOS,l10n_cl_mega.3100000009,l10n_cl_mega.3100000000
l10n_cl_mega.INGRESOS_POR_VENTAS_DE_CONTENIDOS,l10n_cl_mega.3100000011,l10n_cl_mega.3100000000
l10n_cl_mega.ING_DES_PRODUCTOS_PAGADA,l10n_cl_mega.3100000012,l10n_cl_mega.3100000000
l10n_cl_mega.INGRESOS_POR_PUBLICIDAD_CANJE2,l10n_cl_mega.3100000013,l10n_cl_mega.3100000000
l10n_cl_mega.INGRESOS_TELEFONIA_CANJE,l10n_cl_mega.3100000014,l10n_cl_mega.3100000000
l10n_cl_mega.INGRESOS_LICENCIAS_CANJE,l10n_cl_mega.3100000015,l10n_cl_mega.3100000000
l10n_cl_mega.INGRESOS_EVENTOS_CANJE,l10n_cl_mega.3100000016,l10n_cl_mega.3100000000
l10n_cl_mega.INGRESOS_AUTOLIQUIDA_CANJE,l10n_cl_mega.3100000017,l10n_cl_mega.3100000000
l10n_cl_mega.INGRESOS_RIESGOS_CANJE,l10n_cl_mega.3100000018,l10n_cl_mega.3100000000
l10n_cl_mega.INGRESOS_PROY__MULTIPLATAFORMAS_PAGADA,l10n_cl_mega.3100000021,l10n_cl_mega.3100000000
l10n_cl_mega.INGRESOS_PROY__MULTIPLATAFORMAS_CANJE,l10n_cl_mega.3100000022,l10n_cl_mega.3100000000
